,date,ticker,Open,High,Low,Close,Volume,ret,hl_range,oc_move,vol_change,volatility
0,2021-04-06,AAPL,123.21043811923847,123.82405264578033,122.38254338092113,122.927978515625,80171300.0,0.0024593261695610045,0.011726453833095176,-0.0022924973559474006,-0.09565465554893782,0.25263836117256605
1,2021-04-07,AAPL,122.55784258189702,124.59348939464883,121.88578338008176,124.57401275634766,83466700.0,0.013301375888965343,0.021735721236362717,0.016450764243041954,0.04110448502144792,0.24880361236930706
2,2021-04-08,AAPL,125.59674758502777,126.99930382725644,125.17793655097103,126.97008514404297,88844600.0,0.01905148942320771,0.01434485354734652,0.010934499383317723,0.06443168353367268,0.24565080297767364
3,2021-04-09,AAPL,126.42461457311639,129.58035037412546,126.1031942856078,129.54139709472656,106686700.0,0.020048990076175565,0.026842045604734407,0.024653288698045558,0.20082368540125128,0.24118871109636544
4,2021-04-12,AAPL,129.0739151583479,129.3953355248616,127.2330638679476,127.82720184326172,91420000.0,-0.013321132472981752,0.016915583113250858,-0.00965890988552335,-0.1430984368248338,0.22760983246010796
5,2021-04-13,AAPL,128.99599269074992,131.15826433043802,128.49924537282473,130.93423461914062,91266500.0,0.024015805067307806,0.020308049803382557,0.015025597989213333,-0.0016790636622183719,0.19427523932701632
6,2021-04-14,AAPL,131.43096458655666,131.4894019428346,128.2362603060902,128.5966339111328,87222800.0,-0.01801453474951711,0.02529725341794326,-0.021565166810879135,-0.04430650896002364,0.17116772273489106
7,2021-04-15,AAPL,130.3400706375454,131.48937806764056,130.16474373855363,131.00238037109375,89347100.0,0.018534857221372467,0.010111528701498463,0.005081397687669793,0.024354870515507443,0.14111735413044527
8,2021-04-16,AAPL,130.8076234498389,131.16799709740084,129.81414368991753,130.6712646484375,84922400.0,-0.0025307546685244637,0.010360758435496649,-0.0010424377249976544,-0.04952259222739186,0.15890321228613502
9,2021-04-19,AAPL,130.03815636501255,131.9471944147541,129.8725788847892,131.3335723876953,94264200.0,0.005055701699797046,0.015796536195944424,0.009961814738795365,0.11000395655327688,0.16351558308591987
10,2021-04-20,AAPL,131.50889480005515,132.0056272235911,128.38236227240412,129.6485595703125,94812300.0,-0.01291303905637179,0.027946819950760482,-0.014146079111767164,0.005814508583322109,0.23385371916527423
11,2021-04-21,AAPL,128.9180574819885,130.27191076385841,127.88562452974153,130.02841186523438,68847100.0,0.002925577603217833,0.018352037065484616,0.008612869329038667,-0.27385898243160434,0.23309377151165947
12,2021-04-22,AAPL,129.58037371612286,130.66150947358742,127.99277092528317,128.5089874267578,84566500.0,-0.011754136432116057,0.02076694091006875,-0.008268121619344778,0.22832334259540343,0.24285271300630976
13,2021-04-23,AAPL,128.7232835065709,131.6063026401296,128.7232835065709,130.82711791992188,78657500.0,0.017877898127569607,0.022036861924324903,0.01634385292264218,-0.06987400448168013,0.2217956148883802
14,2021-04-26,AAPL,131.32381490404939,131.54782970744535,130.0868364590517,131.2166748046875,66905100.0,0.002973221900738863,0.011134204174646889,-0.0008158466873671479,-0.1494123255887868,0.24681736942667162
15,2021-04-27,AAPL,131.49913616765673,131.88874331170373,130.62254610203854,130.895263671875,66015800.0,-0.0024524735178252147,0.009673361542242395,-0.004592216446287627,-0.013291961300409105,0.2461639860128086
16,2021-04-28,AAPL,130.81733580986761,131.5088791677975,129.61932548257246,130.1063232421875,107760100.0,-0.006045502189239448,0.014523150283078087,-0.005435155541720508,0.6323380160507031,0.263760882665417
17,2021-04-29,AAPL,132.9211473369093,133.50555049492985,129.00568184694694,130.00889587402344,151101000.0,-0.0007491093604684648,0.034612005722617696,-0.02190961725228208,0.4021980306254356,0.2932549542608811
18,2021-04-30,AAPL,128.35315956120257,130.0868708182536,127.66163089702832,128.04148864746094,109839500.0,-0.015248536455444012,0.018941047521735265,-0.0024282293852924018,-0.27307231586819414,0.31532979022409036
19,2021-05-03,AAPL,128.60637073689202,130.58359545105438,128.401839986388,129.09336853027344,75135100.0,0.008181588151418229,0.01690060062345284,0.003786731486092078,-0.3159555533300862,0.3102554700364079
20,2021-05-04,AAPL,127.77848641989287,128.070688075214,123.40524078183631,124.52533721923828,137564700.0,-0.03602672261036931,0.037465847493861816,-0.025459287332332433,0.8308979425062322,0.2612666480645612
21,2021-05-05,AAPL,125.84024625685937,127.05774092819507,124.64223566162377,124.76885986328125,84000900.0,0.001953697473523572,0.01935984082260714,-0.008513861228396346,-0.38937169201110455,0.2603278024622415
22,2021-05-06,AAPL,124.5643128982338,126.37594554444907,123.82407406523244,126.3662109375,78128300.0,0.012721222970673447,0.020194254937965738,0.014465604131243558,-0.0699111557138078,0.2762374132311236
23,2021-05-07,AAPL,127.66379828936026,128.06380344320834,126.32714777247271,127.03938293457031,78973300.0,0.005313012789608856,0.013670214941378198,-0.0048910917829239125,0.010815543151457385,0.28040434274200543
24,2021-05-10,AAPL,126.25886120807223,126.38568557584613,123.72216543128324,123.76119232177734,88071200.0,-0.026143299870622545,0.021521448643107496,-0.019782127467305267,0.11520222657531098,0.2613299868461787
