Open,High,Low,Close,Volume,ret,hl_range,oc_move,vol_change,volatility,stock2vec_1,stock2vec_2,stock2vec_3,stock2vec_4,date_ordinal
123.21044576616356,123.82406033078875,122.3825509764638,122.92798614501952,80171300.0,0.0024592637999814,0.0117264538330952,-0.0022924973559473,-0.0956546555489378,0.2526380734557198,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737886
122.55787260556288,124.59351991699825,121.8858132391096,124.57404327392578,83466700.0,0.013301558800475,0.0217357212363627,0.0164507642430419,0.0411044850214479,0.2488031273760044,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737887
125.59672494440802,126.99928093380576,125.17791398584798,126.97006225585938,88844600.0,0.0190510641833656,0.0143448535473466,0.0109344993833176,0.0644316835336726,0.2456512661512149,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737888
126.4246443564377,129.58038090088027,126.10322399320836,129.5414276123047,106686700.0,0.0200494059222093,0.0268420456047345,0.0246532886980455,0.2008236854012512,0.2411882682928111,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737889
129.07387663932346,129.39529690991694,127.2330258982812,127.82716369628906,91420000.0,-0.0133216664807591,0.016915583113251,-0.0096589098855234,-0.1430984368248338,0.2276083970104998,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737892
128.99596262492872,131.15823376064404,128.49921542278324,130.9342041015625,91266500.0,0.0240158704177983,0.0203080498033826,0.0150255979892134,-0.0016790636622183,0.1942736113227896,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737893
131.43098018165665,131.48941754486856,128.2362755221187,128.59664916992188,87222800.0,-0.0180141830176663,0.0252972534179433,-0.0215651668108791,-0.0443065089600236,0.1711668419130677,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737894
130.3400554559003,131.4893627521274,130.16472857733012,131.0023651123047,89347100.0,0.0185346220879745,0.0101115287014986,0.0050813976876698,0.0243548705155074,0.141117096571056,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737895
130.8076081751269,131.16798178060714,129.81412853121648,130.67124938964844,84922400.0,-0.002530754963673,0.0103607584354963,-0.0010424377249975,-0.0495225922273918,0.1589041638926884,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737896
130.03812614844625,131.94716375459052,129.8725487066976,131.3335418701172,94264200.0,0.0050555861051914,0.0157965361959445,0.0099618147387954,0.1100039565532768,0.163517052616536,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737899
131.50889480005517,132.0056272235911,128.38236227240412,129.6485595703125,94812300.0,-0.0129128066894215,0.0279468199507604,-0.0141460791117671,0.0058145085833221,0.2338555275033825,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737900
128.9180574819885,130.2719107638584,127.88562452974152,130.02841186523438,68847100.0,0.0029255776032178,0.0183520370654846,0.0086128693290386,-0.2738589824316043,0.2330955398105781,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737901
129.58035833012048,130.66149395921403,127.99275572778816,128.50897216796875,84566500.0,-0.0117542551692587,0.0207669409100686,-0.0082681216193448,0.2283233425954034,0.2428542277132524,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737902
128.72326849315886,131.60628729046172,128.72326849315886,130.8271026611328,78657500.0,0.0178779002314774,0.0220368619243249,0.016343852922642,-0.0698740044816801,0.221797499952359,0.00021183260932252108,0.05727579667775719,0.32298401504927016,0.08659627920656286,737903
